image_id,image_path,caption_1,caption_2,caption_3,caption_4,chart_id,chart_uid,edicion,source_page_pdf,source_report,tiene_oracion,fuente_oracion
2024-2_img_000,images/2024-2_grafico_000_I_A_1.png,Grafico I.A.1: Crecimiento economico global,Crecimiento economico global,"El grafico muestra crecimiento economico global. Segun el reporte, Aun asi, la proyeccion del crecimiento global para este ano y el proximo se mantiene por debajo del promedio registrado en el periodo prepandemia (2000- 2019) de 3.8% (ver Grafico I.A.1).","Crecimiento economico global. Aun asi, la proyeccion del crecimiento global para este ano y el proximo se mantiene por debajo del promedio registrado en el periodo prepandemia de 3.8% .",I.A.1,2024-2|I.A.1,2024-2,10,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_001,images/2024-2_grafico_001_I_A_2.png,"Grafico I.A.2: Inflacion: global, paises desarrollados y economias emergentes","Inflacion: global, paises desarrollados y economias emergentes","El grafico muestra inflacion: global, paises desarrollados y economias emergentes. Segun el reporte, El FMI proyecta que la inflacion general mundial seguira disminuyendo, desde un promedio de 6.7% en 2023 a 5.8% en 2024 y 4.3% en 2025, y que las economias avanzadas alcanzarian sus objetivos inflacionarios antes que las emergentes (ver Grafico I.A.2).","Inflacion: global, paises desarrollados y economias emergentes. El FMI proyecta que la inflacion general mundial seguira disminuyendo, desde un promedio de 6.7% en 2023 a 5.8% en 2024 y 4.3% en 2025, y que las economias avanzadas alcanzarian sus objetivos inflacionarios antes que las emergentes .",I.A.2,2024-2|I.A.2,2024-2,11,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_002,images/2024-2_grafico_002_I_A_3.png,Grafico I.A.3: Cotizacion internacional de petroleo y principales granos,Cotizacion internacional de petroleo y principales granos,"El grafico muestra cotizacion internacional de petroleo y principales granos. Segun el reporte, A pesar de esta moderacion, el temor de que el conflicto en Medio Oriente interrumpa los flujos de petroleo en toda la region con el bloqueo del estrecho de Ormuz genero el leve repunte en el aumento del precio del crudo que se dio entre setiembre y octubre (ver Grafico I.A.3).","Cotizacion internacional de petroleo y principales granos. A pesar de esta moderacion, el temor de que el conflicto en Medio Oriente interrumpa los flujos de petroleo en toda la region con el bloqueo del estrecho de Ormuz genero el leve repunte en el aumento del precio del crudo que se dio entre setiembre y octubre .",I.A.3,2024-2|I.A.3,2024-2,12,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_003,images/2024-2_grafico_003_I_A_4.png,Grafico I.A.4: Cotizacion internacional de principales metales,Cotizacion internacional de principales metales,"El grafico muestra cotizacion internacional de principales metales. Segun el reporte, No Pagina 11 obstante, en los ultimos meses, la cotizacion del zinc ha mostrado un repunte, impulsada por interrupciones en el suministro.","Cotizacion internacional de principales metales. No Pagina 11 obstante, en los ultimos meses, la cotizacion del zinc ha mostrado un repunte, impulsada por interrupciones en el suministro.",I.A.4,2024-2|I.A.4,2024-2,13,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,parrafo_previo
2024-2_img_004,images/2024-2_grafico_004_I_A_5.png,Grafico I.A.5: Producto Bruto Interno y Demanda Interna,Producto Bruto Interno y Demanda Interna,"El grafico muestra producto bruto interno y demanda interna. Segun el reporte, En lo que va de 2024, la actividad economica ha mantenido una tendencia de recuperacion, con un crecimiento promedio anual de 2.9% entre enero y agosto (ver Grafico I.A.5).","Producto Bruto Interno y Demanda Interna. En lo que va de 2024, la actividad economica ha mantenido una tendencia de recuperacion, con un crecimiento promedio anual de 2.9% entre enero y agosto .",I.A.5,2024-2|I.A.5,2024-2,14,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_005,images/2024-2_grafico_005_I_A_6.png,Grafico I.A.6: Expectativas Empresariales,Expectativas Empresariales,"El grafico muestra expectativas empresariales. Segun el reporte, Cabe resaltar que se anticipa un mayor crecimiento de la inversion privada en 2025 respecto a lo previsto en junio (4.1% vs. 3.0%, respectivamente), debido principalmente al inicio de la construccion del proyecto minero Tia Maria. 5 BCRP, Reporte de Inflacion: Panorama actual y proyecciones macroeconomicas 2024 – 2025, setiembre de 2024 Pagina 13 En el tercer trimestre de 2024, las expectativas empresariales a corto y largo plazo se mantienen en tramo optimista (ver Grafico I.A.6).","Expectativas Empresariales. Cabe resaltar que se anticipa un mayor crecimiento de la inversion privada en 2025 respecto a lo previsto en junio , debido principalmente al inicio de la construccion del proyecto minero Tia Maria. 5 BCRP, Reporte de Inflacion: Panorama actual y proyecciones macroeconomicas 2024 – 2025, setiembre de 2024 Pagina 13 En el tercer trimestre de 2024, las expectativas empresariales a corto y largo plazo se mantienen en tramo optimista .",I.A.6,2024-2|I.A.6,2024-2,15,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_006,images/2024-2_grafico_006_I_A_7.png,Grafico I.A.7: Indicadores relacionados al mercado laboral,Indicadores relacionados al mercado laboral,"El grafico muestra indicadores relacionados al mercado laboral. Segun el reporte, Esta mejora tambien se refleja en la calidad de empleo (ver Grafico I.A.7).",Indicadores relacionados al mercado laboral. Esta mejora tambien se refleja en la calidad de empleo .,I.A.7,2024-2|I.A.7,2024-2,16,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,cita_explicita
2024-2_img_007,images/2024-2_grafico_007_I_A_8.png,Grafico I.A.8: Inflacion en Lima Metropolitana,Inflacion en Lima Metropolitana,"El grafico muestra inflacion en lima metropolitana. Segun el reporte, Se proyecta que la inflacion cierre el ano en 2.3% y alcance el centro del rango meta (2.0%) en diciembre de 2025. Ademas de la reversion de los efectos de choques de oferta, esta proyeccion asume que los impactos de factores transitorios como el tipo de cambio, precios internacionales de combustibles y de granos se disipen.","Inflacion en Lima Metropolitana. Se proyecta que la inflacion cierre el ano en 2.3% y alcance el centro del rango meta en diciembre de 2025. Ademas de la reversion de los efectos de choques de oferta, esta proyeccion asume que los impactos de factores transitorios como el tipo de cambio, precios internacionales de combustibles y de granos se disipen.",I.A.8,2024-2|I.A.8,2024-2,17,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,parrafo_previo
2024-2_img_008,images/2024-2_grafico_008_I_A_9.png,Grafico I.A.9: Inflacion y Tasa de interes de referencia del BCRP,Inflacion y Tasa de interes de referencia del BCRP,"El grafico muestra inflacion y tasa de interes de referencia del bcrp. Segun el reporte, Adicionalmente, el BCRP se mantiene atento ante posibles depreciaciones del sol peruano, por lo que lo mas probable es que continue atento a las decisiones de la Reserva Federal y al diferencial entre ambas tasas de interes.","Inflacion y Tasa de interes de referencia del BCRP. Adicionalmente, el BCRP se mantiene atento ante posibles depreciaciones del sol peruano, por lo que lo mas probable es que continue atento a las decisiones de la Reserva Federal y al diferencial entre ambas tasas de interes.",I.A.9,2024-2|I.A.9,2024-2,18,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,parrafo_previo
2024-2_img_009,images/2024-2_grafico_009_I_B_1.png,Grafico I.B.1: Sistema financiero*: Evolucion de saldos,Sistema financiero*: Evolucion de saldos,"El grafico muestra sistema financiero*: evolucion de saldos. Segun el reporte, El saldo total de creditos sin considerar los programas del gobierno asciende a S/ 391,963 millones y no muestra el cambio de tendencia observado en la actividad economica de los ultimos meses (+3.50% interanual en agosto 2024).","Sistema financiero*: Evolucion de saldos. El saldo total de creditos sin considerar los programas del gobierno asciende a S/ 391,963 millones y no muestra el cambio de tendencia observado en la actividad economica de los ultimos meses .",I.B.1,2024-2|I.B.1,2024-2,19,"SBS - Informe de Estabilidad del Sistema Financiero, 2024-2",True,parrafo_previo
